Wall time,Step,Value
1599658063.5902922,5,0.000605182780418545
1599658084.8800318,6,0.0007152159814722836
1599658174.5050824,10,0.0011553489603102207
1599658195.3913934,11,0.0012653821613639593
1599658236.8020995,13,0.0014854485634714365
1599658257.6878045,14,0.001595481880940497
1599658278.4643905,15,0.0017055150819942355
1599658320.1400018,17,0.0019255814841017127
1599658340.8863466,18,0.002035614801570773
1599658361.5810137,19,0.0021456480026245117
1599658382.3622031,20,0.0022556812036782503
1599658465.5972776,24,0.0026958142407238483
1599658654.7067971,33,0.003392130369320512
1599658675.3449168,34,0.0032938076183199883
1599658716.5522292,36,0.003113324986770749
1599658778.7699804,39,0.0028768698684871197
1599658799.7290454,40,0.002805836033076048
1599658840.9698193,42,0.002673796843737364
1599658882.1610458,44,0.0025536261964589357
1599658902.7556612,45,0.002497502602636814
1599658944.1510756,47,0.0023923444095999002
1599658985.7990453,49,0.0022956840693950653
1599659006.6462336,50,0.0022502250503748655
1599659071.3598168,53,0.0021240441128611565
1599659096.8642364,54,0.002085070824250579
1599659117.6551018,55,0.0020475019700825214
1599659138.324163,56,0.002011263044551015
1599659158.850824,57,0.0019762846641242504
1599659220.957598,60,0.0018782869447022676
1599659241.614384,61,0.0018477457342669368
1599659286.4130223,63,0.001789549016393721
1599659328.0525534,65,0.00173490634188056
1599659348.8223763,66,0.001708817551843822
1599659369.520465,67,0.001683501643128693
1599659394.4658039,68,0.0016589249717071652
1599659456.3664973,71,0.0015893197851255536
1599659476.9863613,72,0.0015673980815336108
1599659497.4841218,73,0.001546073006466031
1599659518.3794212,74,0.0015253203455358744
1599659562.492653,76,0.0014854426262900233
1599659625.0452437,79,0.001429388183169067
1599659737.5755484,84,0.0013448090758174658
1599659758.292416,85,0.0013290803181007504
1599659780.859634,86,0.0013137152418494225
1599659801.4738882,87,0.0012987012742087245
1599659822.1049602,88,0.001284026657231152
1599659842.7874615,89,0.001269680098630488
1599659945.9742815,94,0.0012025012401863933
1599660116.385285,102,0.001108647440560162
